"product_key","segment","color","package_group","offers_available","farba_dekart_brand","farba_dekart_store","farba_dekart_package_kg","farba_dekart_regular_price","farba_dekart_unit_price_per_kg","farba_dekart_in_stock","farba_farbex_brand","farba_farbex_store","farba_farbex_package_kg","farba_farbex_regular_price","farba_farbex_unit_price_per_kg","farba_farbex_in_stock","farba_zebra_master_brand","farba_zebra_master_store","farba_zebra_master_package_kg","farba_zebra_master_regular_price","farba_zebra_master_unit_price_per_kg","farba_zebra_master_in_stock","lursan_fazenda_brand","lursan_fazenda_store","lursan_fazenda_package_kg","lursan_fazenda_regular_price","lursan_fazenda_unit_price_per_kg","lursan_fazenda_in_stock","lursan_korabelnaya_brand","lursan_korabelnaya_store","lursan_korabelnaya_package_kg","lursan_korabelnaya_regular_price","lursan_korabelnaya_unit_price_per_kg","lursan_korabelnaya_in_stock","mirremonta_dekart_brand","mirremonta_dekart_store","mirremonta_dekart_package_kg","mirremonta_dekart_regular_price","mirremonta_dekart_unit_price_per_kg","mirremonta_dekart_in_stock","mirremonta_farbex_brand","mirremonta_farbex_store","mirremonta_farbex_package_kg","mirremonta_farbex_regular_price","mirremonta_farbex_unit_price_per_kg","mirremonta_farbex_in_stock","best_offer","best_store","best_brand","best_package_kg","best_price","best_unit_price_per_kg","max_unit_saving","max_unit_saving_percent"
"pf115_economy","economy","Красно-коричневый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","128","45,7143","False","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","10,1786","22,27"
"pf115_economy","economy","Красный","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","139","49,6429","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","14,1072","28,42"
"pf115_economy","economy","Светло-голубой","large","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357",,
"pf115_economy","economy","Светло-зелёный","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","133","47,5","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","11,9643","25,19"
"pf115_economy","economy","Светло-серый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","133","47,5","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","11,9643","25,19"
"pf115_economy","economy","Серый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","129","46,0714","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","10,5357","22,87"
"pf115_economy","economy","Синий","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","12,6786","26,30"
"pf115_economy","economy","Темно-зелёный","large","2","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","farba_dekart","farba.md","DekArt","2.8","102,90","36,75","11,4643","23,78"
"pf115_economy","economy","Темно-серый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","12,6786","26,30"
"pf115_economy","economy","Черный","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","120","42,8571","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","7,3214","17,08"
