"product_key","segment","color","package_group","rank","offer_key","store","brand","package_kg","regular_price","promo_price","unit_price_per_kg","in_stock","url"
"pf115_standard","standard","Белоснежный","large","1","lursan_korabelnaya","lursan.com","Корабельная","2.8","200",,"71.4286","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10875"
"pf115_standard","standard","Белый","large","1","farba_farbex","farba.md","Farbex","2.8","153.20","147.10","54.7143","True","https://farba.md/farbex--jemal-pph-115-belaja-gljancevaja-28-up6sht.html"
"pf115_standard","standard","Белый","large","2","lursan_korabelnaya","lursan.com","Корабельная","2.8","180",,"64.2857","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10871"
"pf115_standard","standard","Белый","large","3","mirremonta_farbex","mirremonta.md","Farbex","2.8","195",,"69.6429","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Бирюзовый","large","1","farba_farbex","farba.md","Farbex","2.8","156.98","150.70","56.0643","True","https://farba.md/farbex--jemal-pph-115-birjuzovaja-28-up6sht.html"
"pf115_standard","standard","Бирюзовый","large","2","lursan_korabelnaya","lursan.com","Корабельная","2.8","160",,"57.1429","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10878"
"pf115_standard","standard","Бирюзовый","large","3","mirremonta_farbex","mirremonta.md","Farbex","2.8","165",,"58.9286","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Бирюзовый","large","4","farba_zebra_master","farba.md","Zebra Master","2.6","159.00","152.60","61.1538","True","https://farba.md/jemal-pph-115-birjuzovaja-universalnaja-26kg-zebra-serija-master-up6sht.html"
"pf115_standard","standard","Вишневый","large","1","lursan_korabelnaya","lursan.com","Корабельная","2.8","150",,"53.5714","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10883"
"pf115_standard","standard","Вишневый","large","2","mirremonta_farbex","mirremonta.md","Farbex","2.8","172",,"61.4286","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Голубой","large","1","farba_farbex","farba.md","Farbex","2.8","148.99","143.00","53.2107","True","https://farba.md/farbex--jemal-pph-115-golubaja28-up6sht.html"
"pf115_standard","standard","Голубой","large","2","lursan_korabelnaya","lursan.com","Корабельная","2.8","160",,"57.1429","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10888"
"pf115_standard","standard","Голубой","large","3","mirremonta_farbex","mirremonta.md","Farbex","2.8","168",,"60","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Желто-коричневый","large","1","mirremonta_farbex","mirremonta.md","Farbex","2.8","159",,"56.7857","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Желтый","large","1","lursan_korabelnaya","lursan.com","Корабельная","2.8","170",,"60.7143","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10957"
"pf115_standard","standard","Желтый","large","2","farba_zebra_master","farba.md","Zebra Master","2.6","159.00","152.60","61.1538","True","https://farba.md/jemal-pph-115-zheltaja-universalnaja-26kg-zebra-serija-master-up6sht.html"
"pf115_standard","standard","Желтый","large","3","mirremonta_farbex","mirremonta.md","Farbex","2.8","179",,"63.9286","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Зелёный","large","1","lursan_korabelnaya","lursan.com","Корабельная","2.8","160",,"57.1429","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10971"
"pf115_standard","standard","Зелёный","large","2","farba_zebra_master","farba.md","Zebra Master","2.6","159.00","152.60","61.1538","True","https://farba.md/jemal-pph-115-zelenaja-universalnaja-26kg-zebra-serija-master-up6sht.html"
"pf115_standard","standard","Зелёный","large","3","mirremonta_farbex","mirremonta.md","Farbex","2.8","195",,"69.6429","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Изумрудный","large","1","mirremonta_farbex","mirremonta.md","Farbex","2.8","188",,"67.1429","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Коричневый","large","1","lursan_korabelnaya","lursan.com","Корабельная","2.8","150",,"53.5714","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=11025"
"pf115_standard","standard","Коричневый","large","2","mirremonta_farbex","mirremonta.md","Farbex","2.8","170",,"60.7143","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Коричневый","large","3","farba_zebra_master","farba.md","Zebra Master","2.6","159.00","152.60","61.1538","True","https://farba.md/jemal-pph-115-korichnevaja-universalnaja-26kg-zebra-serija-master-up6sht.html"
