"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-голубая","Светло-голубой","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11208","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11208"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-зеленая","Светло-зелёный","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11213","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11213"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-серая","Светло-серый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11218","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11218"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Серая","Серый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11222","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11222"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Синяя","Синий","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11232","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11232"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Темная-серая","Темно-серый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11300","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11300"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Черная","Черный","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11321","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11321"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Ярко-голубая","Ярко-голубой","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11360","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11360"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Белая","Белый","0.9","small","41",,"41","45.5556","PRB","True","","","10872","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10872"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Бирюзовая","Бирюзовый","0.9","small","39",,"39","43.3333","PRB","True","","","10879","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10879"
